a,b,x,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,mtot,fermi_en,band_en,tot_en,n_el,class
Co2,Ge2,Te6,3.38614,1.95499,11.00558,6.77228,3.90998,11.00853,0,0,9.86708,0,0,12.14703,4.24329,0.00246,12.63064,1.26663,2.18895,12.63064,4.64851,3.67356,12.63064,5.91513,5.8625,9.38347,8.89179,3.67602,9.38347,5.50991,2.1914,9.38347,0,0,0,0,0,0,0,0,0,0,0,-1.873443,-379.251497,-35.26113371,62,0
Co2,GeP,Se6,3.11492,1.7984,10.62429,6.22985,3.5968,10.62447,0,0,9.51753,0,0,11.88422,3.82767,0.00008,12.07009,1.20116,2.08031,12.07009,4.31595,3.31482,12.07009,5.53268,5.39504,9.16095,8.13574,3.30144,9.16095,5.0211,2.09392,9.16095,0.142,0.142,0.02,0.035,0.064,0.044,0.061,0.015,0.01,0.013,0.547,-2.335318,-482.074122,-41.35474626,63,0
Co2,GeP,Te6,3.39551,1.9604,10.40155,6.79103,3.92081,10.40574,0,0,9.32076,0,0,11.69467,4.25504,0.00247,11.93131,1.27014,2.19501,11.93131,4.66138,3.68373,11.93131,5.93151,5.87873,8.86393,8.91641,3.6862,8.86393,5.52517,2.19747,8.86393,0.177,0.177,0.009,0.023,0.043,0.034,0.04,0.005,0.011,0.004,0.524,-1.352459,-389.016012,-36.50381364,63,0
Co2,GeSi,Se6,3.08785,1.78277,10.83735,6.17572,3.56555,10.83811,0,0,9.72958,0,0,12.05861,3.86519,-0.00048,12.37764,1.15485,2.00122,12.37764,4.24354,3.34759,12.37764,5.51262,5.34783,9.3486,8.05076,3.24867,9.3486,4.96376,2.10015,9.3486,0,0,0,0,0,0,0,0,0,0,0,-3.043384,-472.03563,-41.75561975,62,0
Co2,GeSi,Te6,3.37594,1.9491,10.61416,6.75189,3.89821,10.61752,0,0,9.52216,0,0,11.85252,4.23051,0.00246,12.18912,1.26282,2.18236,12.18912,4.63451,3.6625,12.18912,5.89732,5.84485,9.05546,8.86501,3.66495,9.05546,5.49332,2.18481,9.05546,0,0,0,0,0,0,0,0,0,0,0,-1.818848,-373.650615,-36.5969265,62,0
Co2,P2,Se6,3.12493,1.80418,10.45061,6.24987,3.60837,10.45106,0,0,9.31829,0,0,11.58338,3.84776,0.00023,11.85888,1.20126,2.08018,11.85888,4.3258,3.33214,11.85888,5.52705,5.41232,9.04279,8.17355,3.33237,9.04279,5.04901,2.0804,9.04279,0,0,0,0,0,0,0,0,0,0,0,-1.93029,-494.857948,-42.12310755,64,0
Co2,P2,Te6,3.38333,1.95337,10.24062,6.76667,3.90674,10.24448,0,0,9.1203,0,0,11.36479,4.23977,0.00246,11.75336,1.26558,2.18713,11.75336,4.64465,3.67052,11.75336,5.91023,5.85764,8.73173,8.88441,3.67297,8.73173,5.50534,2.18959,8.73173,0.022,0.022,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.057,-1.018952,-395.834524,-37.31278163,64,0
Co2,Si2,Se6,3.06718,1.77084,10.74477,6.13437,3.54168,10.74739,0,0,9.64609,0,0,11.84607,3.86805,0.00204,12.27552,1.13493,1.96167,12.27552,4.19858,3.34881,12.27552,5.33349,5.31047,9.21665,8.06662,3.35085,9.21665,5.00297,1.9637,9.21665,0,0,0,0,0,0,0,0,0,0,0,-2.958697,-465.298297,-43.0946018,62,0
Co2,Si2,Te6,3.34568,1.93163,10.66662,6.69136,3.86326,10.67028,0,0,9.53322,0,0,11.80369,4.19258,0.00243,12.24209,1.2515,2.16279,12.24209,4.59296,3.62967,12.24209,5.84445,5.79245,9.09481,8.78554,3.6321,9.09481,5.44407,2.16522,9.09481,0,0,0,0,0,0,0,0,0,0,0,-1.760647,-372.698235,-37.86137089,62,0
Co2,SiP,Se6,3.09212,1.78523,10.48976,6.18424,3.57047,10.48753,0,0,9.67871,0,0,11.93065,3.71842,-0.00079,11.92565,1.23223,2.13586,11.92565,4.32571,3.22064,11.92565,2.22592,0.00099,9.0437,1.98001,3.4275,9.0437,5.07041,1.92721,9.0437,0.197,0.196,0.006,0.034,0.077,0.05,0.072,0.01,0.008,0.009,0.659,-2.344313,-478.632133,-42.88703709,63,0
Co2,SiP,Te6,3.36739,1.94417,10.45139,6.7348,3.88834,10.45522,0,0,9.33216,0,0,11.59681,4.2198,0.00245,11.97253,1.25962,2.17683,11.97253,4.62278,3.65323,11.97253,5.88239,5.83005,8.89455,8.84257,3.65567,8.89455,5.47941,2.17927,8.89455,0.195,0.195,0.007,0.025,0.037,0.027,0.034,0.005,0.014,0.004,0.543,-1.168311,-383.759502,-37.74832238,63,0
Ni2,Ge2,Se6,3.1408,1.81334,11.87133,6.2816,3.62669,11.8714,0,0,10.64187,0,0,13.10085,3.84827,-0.00064,13.39278,1.21612,2.10765,13.39278,4.35802,3.33302,13.39278,2.43333,0.00064,10.34994,1.92468,3.33238,10.34994,5.06438,2.10701,10.34994,0,0,0,0,0,0,0,0,0,0,0,-2.771903,-508.781311,-36.35474198,64,0
Ni2,Ge2,Te6,3.41243,1.97017,11.21681,6.82488,3.94035,11.21862,0,0,9.9505,0,0,12.48493,4.1385,0.00059,12.80774,1.34371,2.32618,12.80774,4.75512,3.58375,12.80774,6.09881,5.90992,9.62769,8.89361,3.58434,9.62769,5.4822,2.32677,9.62769,0,0,0,0,0,0,0,0,0,0,0,-1.699977,-409.640308,-32.01854733,64,0
Ni2,GeP,Se6,3.1135,1.79758,11.83246,6.227,3.59517,11.83332,0,0,10.45789,0,0,12.86237,3.99905,0.00986,13.36816,1.12251,1.92454,13.36816,4.21894,3.45836,13.36816,2.43473,0.00325,10.30168,1.89895,3.28257,10.30168,5.00681,2.10691,10.30168,0.331,0.385,0.001,-0.004,0.043,0.034,0.051,0.032,0.046,0.046,0.964,-2.624994,-515.176768,-37.32602149,65,0
Ni2,GeP,Te6,3.40662,1.96681,10.86738,6.81324,3.93363,10.87072,0,0,9.73917,0,0,12.16122,4.26895,0.00248,12.4669,1.27429,2.20219,12.4669,4.67663,3.69578,12.4669,5.95091,5.89796,9.26183,8.94557,3.69825,9.26183,5.54324,2.20466,9.26183,-0.247,0.247,0,0,0.012,-0.001,-0.011,0.006,0.003,-0.008,0.001,-1.599048,-414.195263,-32.77009871,65,0
Ni2,GeSi,Se6,3.10587,1.79318,11.02743,6.21175,3.58636,11.02966,0,0,9.89762,0,0,12.24444,3.92969,0.00079,12.60244,1.14171,1.97593,12.60244,4.24623,3.40282,12.60244,5.50244,5.37858,9.47437,8.11851,3.30452,9.47437,5.01428,2.07596,9.47437,0.545,0.544,0.016,0.004,0.061,0.08,0.07,0.061,0.08,0.069,1.531,-2.619163,-490.14667,-37.67196778,64,0
Ni2,GeSi,Te6,3.39232,1.95856,10.92695,6.78465,3.91712,10.93074,0,0,9.80366,0,0,12.2179,4.25103,0.00247,12.54946,1.26895,2.19294,12.54946,4.657,3.68027,12.54946,5.92593,5.8732,9.32316,8.90802,3.68273,9.32316,5.51997,2.1954,9.32316,0.082,0.087,0.004,0.002,0.015,0.002,0.014,0.019,0.003,0.018,0.247,-1.669217,-402.730472,-32.85946197,64,0
Ni2,P2,Se6,3.09102,1.7846,10.92619,6.18205,3.56921,10.92844,0,0,9.79907,0,0,12.05556,3.95989,0.0008,12.47712,1.11177,1.92405,12.47712,4.20141,3.42897,12.47712,5.31317,5.35301,9.37751,8.16129,3.42976,9.37751,5.07165,1.92484,9.37751,0.612,0.612,-0.006,-0.006,0.08,0.056,0.074,0.08,0.056,0.074,1.633,-2.363088,-518.484744,-38.14818771,66,0
Ni2,P2,Te6,3.35478,1.93688,11.14784,6.70956,3.87377,11.14825,0,0,10.01268,0,0,12.28342,4.13467,0.00033,12.74458,1.28774,2.22976,12.74458,4.64194,3.58056,12.74458,5.92967,5.81031,9.55151,8.7766,3.58089,9.55151,5.42239,2.23008,9.55151,0,0,0,0,0,0,0,0,0,0,0,-1.401546,-423.849622,-33.56865103,66,0
Ni2,Si2,Se6,3.07967,1.77805,11.04368,6.15936,3.55611,11.04586,0,0,9.90317,0,0,12.18637,3.88214,0.00064,12.61264,1.13916,1.97182,12.61264,4.21774,3.36171,12.61264,5.35689,5.33352,9.4769,8.09987,3.36234,9.4769,5.02129,1.97245,9.4769,0.562,0.562,0.006,0.006,0.059,0.078,0.068,0.059,0.078,0.068,1.545,-2.572783,-487.27894,-39.12684536,64,0
Ni2,Si2,Te6,3.34791,1.93292,11.27793,6.69584,3.86584,11.28075,0,0,10.11854,0,0,12.44015,4.18147,0.00095,12.90963,1.25801,2.17703,12.90963,4.60428,3.62079,12.90963,5.86227,5.79781,9.64906,8.78574,3.62173,9.64906,5.43947,2.17798,9.64906,0.265,0.265,0.006,0.006,0.042,0.044,0.045,0.042,0.044,0.045,0.806,-1.557791,-397.859622,-34.06557007,64,0
Ni2,SiP,Se6,3.08994,1.78398,10.95786,6.1799,3.56796,10.95987,0,0,9.8338,0,0,12.09101,3.93343,0.00094,12.51801,1.12405,1.94503,12.51801,4.21237,3.40598,12.51801,5.34219,5.35128,9.40625,8.14314,3.40177,9.40625,5.05434,1.95083,9.40625,-0.574,0.576,0,0,0,-0.004,0.005,0.014,0.007,-0.021,0.003,-2.550485,-503.447993,-38.89909374,65,0
Ni2,SiP,Te6,3.35952,1.93962,10.88438,6.71905,3.87924,10.88839,0,0,9.75243,0,0,12.04693,4.20993,0.00244,12.48041,1.25668,2.17174,12.48041,4.61197,3.64469,12.48041,5.86864,5.81642,9.27186,8.82189,3.64712,9.27186,5.4666,2.17418,9.27186,-0.276,0.277,0,0,0.007,-0.001,-0.005,0.01,0.003,-0.013,0.001,-1.370606,-403.27703,-33.98065697,65,0
Cu2,Ge2,Se6,3.1442,1.81531,12.22826,6.28842,3.63062,12.227,0,0,10.96124,0,0,13.49403,3.92103,-0.00029,13.88256,1.18344,2.05037,13.88256,4.32816,3.39586,13.88256,2.36738,0.00029,10.57271,1.96077,3.39556,10.57271,5.10446,2.05007,10.57271,0.012,0.012,0.001,0.001,0.015,0.008,0.015,0.015,0.008,0.015,0.102,-3.352557,-538.389516,-31.13568082,66,0
Cu2,Ge2,Te6,3.39878,1.96229,12.08263,6.79757,3.92458,12.08665,0,0,10.83306,0,0,13.33622,4.25913,0.00247,13.86717,1.27136,2.19712,13.86717,4.66587,3.68728,13.86717,5.93722,5.8844,10.30211,8.92499,3.68975,10.30211,5.53049,2.19959,10.30211,0,0,0,0,0,0,0,0,0,0,0,-2.352785,-444.600902,-26.75400075,66,0
Cu2,GeP,Se6,3.1164,1.79925,11.45967,6.2328,3.59851,11.46274,0,0,10.28945,0,0,12.65722,4.04565,0.00106,13.1596,1.0945,1.8936,13.1596,4.20906,3.5031,13.1596,5.46945,5.39703,9.81576,8.17203,3.36032,9.81576,5.0569,2.03817,9.81576,0.107,0.108,0.007,0.005,0.083,0.04,0.063,0.084,0.04,0.067,0.604,-3.115504,-538.016496,-32.44823145,67,0
Cu2,GeP,Te6,3.38405,1.95378,11.79948,6.7681,3.90757,11.80355,0,0,10.58572,0,0,13.05537,4.24067,0.00246,13.55057,1.26585,2.1876,13.55057,4.64564,3.6713,13.55057,5.91148,5.85889,10.0669,8.8863,3.67375,10.0669,5.50651,2.19005,10.0669,0,0,0,0,0,0,0,0,0,0,0,-2.291486,-456.853123,-27.79549923,67,0
Cu2,GeSi,Se6,3.12776,1.80582,11.42459,6.25554,3.61164,11.42692,0,0,10.24657,0,0,12.68235,4.01202,0.00046,13.07479,1.12216,1.94272,13.07479,4.24913,3.47428,13.07479,5.4873,5.41631,9.77621,8.20254,3.3746,9.77621,5.07675,2.04399,9.77621,0,0,0,0,0,0,0,0,0,0,0,-3.19935,-525.976919,-32.58139641,66,0
Cu2,GeSi,Te6,3.39171,1.94171,11.883,6.77714,3.88395,11.88766,0.00343,-0.00062,10.65301,0.0183,-0.00071,13.11993,4.29755,-0.00029,13.64783,1.2708,2.17401,13.63697,4.65194,3.64912,13.63797,5.91721,5.82411,10.13243,8.89309,3.65191,10.13351,5.51196,2.1768,10.13252,0,0,0,0,0,0,0,0,0,0,-0.001,-2.177163,-437.311712,-27.82882152,66,0
Cu2,P2,Se6,3.10051,1.79008,11.32689,6.20103,3.58017,11.32984,0,0,10.20392,0,0,12.45282,4.03715,0.00091,12.98575,1.08273,1.87353,12.98575,4.18168,3.49582,12.98575,5.2644,5.36934,9.67098,8.21882,3.49672,9.67098,5.11987,1.87443,9.67098,0,0,0,0,0,0,0,0,0,0,0,-2.876351,-547.20793,-33.72432149,68,0
Cu2,P2,Te6,3.30527,1.9083,12.08546,6.61055,3.8166,12.08992,0,0,10.93895,0,0,13.23642,4.14195,0.0024,13.87067,1.23638,2.13667,13.87067,4.53749,3.58583,13.87067,5.77387,5.72249,10.30471,8.67943,3.58823,10.30471,5.37832,2.13907,10.30471,0,0,0,0,0,0,0,0,0,0,0,-1.950819,-465.446402,-28.76998871,68,0
Cu2,Si2,Se6,3.10783,1.79431,11.34912,6.21567,3.58862,11.35209,0,0,10.17234,0,0,12.52887,3.97046,0.001,12.99468,1.12347,1.94391,12.99468,4.22958,3.43802,12.99468,5.35304,5.38193,9.70654,8.20003,3.43902,9.70654,5.09393,1.94491,9.70654,0,0,0,0,0,0,0,0,0,0,0,-3.06858,-518.577836,-34.06261018,66,0
Cu2,Si2,Te6,3.32871,1.92183,12.07657,6.65742,3.84366,12.08083,0,0,10.89414,0,0,13.26326,4.17132,0.00242,13.86036,1.24515,2.15182,13.86036,4.56967,3.61126,13.86036,5.81481,5.76307,10.29704,8.74098,3.61367,10.29704,5.41646,2.15424,10.29704,0,0,0,0,0,0,0,0,0,0,0,-2.160741,-436.269911,-28.9983549,66,0
Cu2,SiP,Se6,3.10349,1.7918,11.38278,6.207,3.58361,11.3852,0,0,10.25518,0,0,12.50801,4.04015,0.0007,13.07884,1.08403,1.8762,13.07884,4.18632,3.49852,13.07884,5.31541,5.37457,9.7492,8.2038,3.46026,9.7492,5.10176,1.916,9.7492,0.093,0.095,-0.002,-0.002,0.054,0.041,0.054,0.046,0.049,0.055,0.485,-3.139702,-537.265976,-34.09108061,67,0
Cu2,SiP,Te6,3.3549,1.89672,12.16845,6.68457,3.80932,12.1781,0.02007,-0.00159,11.00278,0.04577,-0.00179,13.3073,4.29938,-0.00139,14.03556,1.26605,2.12891,13.97085,4.59137,3.57418,13.97519,5.83161,5.70541,10.38524,8.75834,3.57724,10.38953,5.43301,2.13197,10.38519,0,0,0,0,0,0,0,0,0,0,0,-2.178749,-449.19385,-29.04348495,67,0
Y2,Ge2,Se6,3.44915,1.99137,11.59112,6.89831,3.98274,11.59403,0.0,0.0,10.39196,0.0,0.0,12.7932,4.55678,0.00066,13.40387,1.17134,2.0275,13.40387,4.61935,3.94595,13.40387,5.79068,5.97345,9.78128,9.17612,3.94661,9.78128,5.72811,2.02816,9.78128,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-4.137037,-929.078110,-47.95808635,66.0000,0
Y2,Ge2,Te6,3.61115,2.0849,13.66983,7.2223,4.1698,13.67706,0.0,-0.0,12.25732,0.0,-0.0,15.08958,4.52525,0.00263,15.69033,1.3508,2.3344,15.69033,4.9574,3.91767,15.69033,6.30819,6.25207,11.65656,9.48265,3.92029,11.65656,5.87605,2.33702,11.65656,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.784776,-857.422271,-40.75426599,66.0000,0
Y2,GeP,Se6,3.40979,1.96864,11.82824,6.8196,3.9373,11.83252,0.0,0.0,10.61466,0.0,0.0,13.0246,4.55665,0.00178,13.61036,1.13301,1.95888,13.61036,4.53973,3.94529,13.61036,5.73456,5.90398,10.00657,9.0653,3.89362,10.00657,5.65891,2.01428,10.00657,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.668046,-938.510906,-48.30901983,67.0000,0
Y2,GeP,Te6,3.53875,2.0431,13.91289,7.0775,4.0862,13.9181,0.0,-0.0,12.45873,0.0,-0.0,15.12225,4.43453,0.00257,15.94817,1.32372,2.2876,15.94817,4.85801,3.83913,15.94817,6.18172,6.12672,11.84811,9.29253,3.8417,11.84811,5.75824,2.29017,11.84811,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.534866,-859.156927,-41.35644179,67.0000,0
Y2,GeSi,Se6,3.41765,1.97318,11.54111,6.83532,3.94637,11.54553,0.0,-0.0,10.42405,0.0,-0.0,12.76842,4.60278,0.0015,13.36662,1.11757,1.93269,13.36662,4.53263,3.98537,13.36662,5.75234,5.91831,9.73071,9.08455,3.89828,9.73071,5.66905,2.02252,9.73071,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.074777,-924.392605,-49.45782111,66.0000,0
Y2,GeSi,Te6,3.54589,2.04722,14.01553,7.09179,4.09445,14.02172,0.0,0.0,12.55694,0.0,0.0,15.21679,4.44348,0.00258,16.07387,1.32639,2.29222,16.07387,4.86782,3.84688,16.07387,6.1942,6.13909,11.9415,9.31129,3.84945,11.9415,5.76986,2.29479,11.9415,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.662976,-853.052668,-41.57661320,66.0000,0
Y2,P2,Se6,3.40344,1.96498,11.79894,6.80689,3.92996,11.80199,-0.0,0.0,10.63995,-0.0,0.0,12.96098,4.52728,0.00116,13.56944,1.14081,1.97362,13.56944,4.54225,3.92016,13.56944,5.68305,5.89377,10.03149,9.06952,3.92131,10.03149,5.66808,1.97478,10.03149,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.416838,-945.514756,-48.29142774,68.0000,0
Y2,P2,Te6,3.51709,2.03059,13.94789,7.03419,4.06119,13.95253,0.0,0.0,12.73363,0.0,0.0,15.16678,4.40739,0.00256,16.00792,1.31562,2.2736,16.00792,4.82828,3.81563,16.00792,6.14389,6.08923,11.8925,9.23566,3.81818,11.8925,5.723,2.27615,11.8925,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.537807,-871.326211,-41.81687295,68.0000,0
Y2,Si2,Se6,3.39538,1.96032,11.90466,6.79077,3.92065,11.90889,-0.0,-0.0,10.76744,-0.0,-0.0,13.04611,4.56988,0.00134,13.70674,1.1116,1.92268,13.70674,4.50467,3.95696,13.70674,5.61627,5.87964,10.10681,9.07454,3.95829,10.10681,5.68147,1.92401,10.10681,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.181923,-930.058254,-50.98494773,66.0000,0
Y2,Si2,Te6,3.50304,2.02248,14.05747,7.00609,4.04496,14.06414,-0.0,-0.0,12.82967,-0.0,-0.0,15.29193,4.38978,0.00255,16.13483,1.31036,2.26452,16.13483,4.80899,3.80039,16.13483,6.11934,6.0649,11.98678,9.19876,3.80293,11.98678,5.70013,2.26706,11.98678,-0.005,-0.005,-0.003,-0.003,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.017,-2.337007,-839.385355,-42.66758412,66.0000,0
Y2,SiP,Se6,3.39332,1.95913,11.83917,6.78665,3.91827,11.84312,-0.0,0.0,10.76039,-0.0,0.0,13.05451,4.51361,0.00153,13.63406,1.13785,1.96774,13.63406,4.52852,3.90813,13.63406,5.58479,5.87578,10.0644,9.08282,3.98035,10.0644,5.69231,1.89868,10.0644,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.668101,-940.835818,-49.94548083,67.0000,0
Y2,SiP,Te6,3.51017,2.0266,13.93432,7.02035,4.0532,13.93979,-0.0,-0.0,12.71531,-0.0,-0.0,15.17926,4.39872,0.00255,15.9849,1.31303,2.26913,15.9849,4.81878,3.80812,15.9849,6.1318,6.07724,11.87539,9.21749,3.81067,11.87539,5.71173,2.27167,11.87539,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-2.484555,-856.006740,-42.27996838,67.0000,0
Nb2,Ge2,Se6,3.21922,1.85862,11.89871,6.43846,3.71724,11.90208,0,0,10.66789,0,0,13.13289,4.08673,0.00125,13.65645,1.17695,2.03603,13.65645,4.39401,3.53859,13.65645,5.57095,5.57461,10.14433,8.48073,3.53983,10.14433,5.26367,2.03728,10.14433,0.788,0.788,0.025,0.025,-0.001,0.003,0.002,-0.001,0.003,0.002,1.633,-2.431601,-860.444215,-48.22924417,66,0
Nb2,Ge2,Te6,3.47443,2.00596,12.55788,6.94888,4.01194,12.56382,0,0,11.25995,0,0,13.86175,4.35393,0.00253,14.41363,1.29966,2.24602,14.41363,4.76972,3.76935,14.41363,6.06937,6.01537,10.70807,9.12365,3.77188,10.70807,5.65359,2.24855,10.70807,0.8,0.8,0.032,0.032,-0.015,-0.012,-0.012,-0.015,-0.012,-0.012,1.584,-1.856057,-778.497585,-41.99256346,66,0
Nb2,GeP,Se6,3.16915,1.82971,11.65014,6.33832,3.65943,11.65156,0,0,10.45153,0,0,12.82847,4.12654,-0.0025,13.38957,1.10372,1.91671,13.38957,4.27722,3.57494,13.38957,5.47105,5.48456,9.8673,8.35255,3.49793,9.8673,5.19133,1.99579,9.8673,0.901,-0.121,0.008,0.008,-0.003,-0.005,0.004,0.002,0.003,0.002,0.8,-2.125798,-859.430535,-49.05443174,67,0
Nb2,GeP,Te6,3.42651,1.9783,12.67686,6.85304,3.9566,12.70478,0,0,11.35227,0,0,13.86799,4.29388,0.00249,14.5318,1.28174,2.21505,14.5318,4.70394,3.71737,14.5318,5.98566,5.93241,10.79587,8.99781,3.71985,10.79587,5.57561,2.21753,10.79587,1.118,-0.298,0.024,0.026,-0.004,-0.005,0.007,0.005,0.006,0.004,0.883,-1.766086,-782.671657,-42.75261766,67,0
Nb2,GeSi,Se6,3.18204,1.83715,11.76284,6.36408,3.6743,11.76511,0,0,10.54937,0,0,12.89871,4.15666,0.00075,13.52672,1.10437,1.91131,13.52672,4.28511,3.59939,13.52672,5.52041,5.51057,9.9958,8.37616,3.48681,9.9958,5.19566,2.02553,9.9958,0.783,0.787,0.02,0.015,0.001,0.001,0.004,-0.003,0.001,0.002,1.611,-2.319497,-852.058977,-49.84784384,66,0
Nb2,GeSi,Te6,3.40981,1.96865,12.85576,6.81962,3.93731,12.86198,0,0,11.53336,0,0,14.01423,4.27295,0.00248,14.76362,1.27549,2.20425,14.76362,4.681,3.69924,14.76362,5.95648,5.90348,10.96809,8.95394,3.70171,10.96809,5.54842,2.20672,10.96809,0.787,0.786,0.028,0.022,-0.013,-0.008,-0.009,-0.013,-0.009,-0.011,1.56,-1.813499,-774.245846,-43.00088659,66,0
Nb2,P2,Se6,3.1264,1.80503,11.81025,6.25282,3.61007,11.80955,0,0,10.67135,0,0,12.94844,4.08999,-0.00052,13.56182,1.08096,1.87333,13.56182,4.20828,3.5423,13.56182,2.16282,0.00052,10.05797,2.04544,3.54177,10.05797,5.17095,1.8728,10.05797,0,0,0,0,0,0,0,0,0,0,0,-1.760522,-868.721318,-49.44960896,68,0
Nb2,P2,Te6,3.39534,1.9603,12.67797,6.79069,3.9206,12.69222,0,0,11.53289,0,0,13.8373,4.25482,0.00247,14.5562,1.27008,2.19489,14.5562,4.66114,3.68355,14.5562,5.93121,5.87843,10.81399,8.91595,3.68601,10.81399,5.52488,2.19736,10.81399,0.348,0.348,0.022,0.022,-0.01,-0.011,-0.007,-0.01,-0.011,-0.007,0.684,-1.643255,-788.774636,-43.46955019,68,0
Nb2,Si2,Se6,3.14368,1.81501,11.84295,6.28738,3.63002,11.84557,0,0,10.7068,0,0,12.98172,4.0842,0.00099,13.62228,1.10245,1.90752,13.62228,4.24443,3.53653,13.62228,5.34686,5.44404,10.06624,8.32861,3.53751,10.06624,5.18663,1.9085,10.06624,0.783,0.783,0.013,0.013,0,0.002,0.004,0,0.002,0.004,1.604,-2.298895,-848.826256,-51.42580801,66,0
Nb2,Si2,Te6,3.33781,1.92709,13.09769,6.67563,3.85418,13.10493,0,0,11.91739,0,0,14.28523,4.18273,0.00243,15.03381,1.24856,2.15771,15.03381,4.58217,3.62113,15.03381,5.83071,5.77883,11.16881,8.76489,3.62356,11.16881,5.43127,2.16013,11.16881,0,0,0,0,0,0,0,0,0,0,0,-1.751208,-768.678052,-44.18287832,66,0
Nb2,SiP,Se6,3.14064,1.81325,11.74843,6.28128,3.6265,11.75158,0,0,10.66709,0,0,12.93901,4.06418,-0.00043,13.50072,1.10818,1.92029,13.50072,4.24957,3.5199,13.50072,5.3069,5.43777,9.98624,8.33707,3.56469,9.98624,5.19985,1.87703,9.98624,0.618,0.187,0.006,0.006,-0.005,-0.007,-0.001,0.002,0.001,0.003,0.809,-2.061526,-856.467003,-50.7606894,67,0
Nb2,SiP,Te6,3.35406,1.93647,12.94687,6.70812,3.87294,12.95133,0,0,11.78462,0,0,14.13765,4.20309,0.00244,14.82643,1.25463,2.16821,14.82643,4.60447,3.63876,14.82643,5.85909,5.80696,11.01476,8.80755,3.64119,11.01476,5.45771,2.17064,11.01476,-0.697,0.697,0,0,0.009,0.002,-0.011,-0.003,-0.001,0.004,0,-1.588165,-776.397864,-43.9408479,67,0
Ru2,Ge2,Se6,3.19575,1.84507,11.58328,6.39152,3.69014,11.58435,-0.0,0.0,10.3841,-0.0,0.0,12.78353,3.99221,0.00026,13.17197,1.19988,2.07773,13.17197,4.39519,3.45722,13.17197,2.3993,-0.00026,9.99566,1.99587,3.45748,9.99566,5.19208,2.07799,9.99566,0.801,0.801,0.027,0.027,0.014,0.038,0.021,0.014,0.038,0.021,1.803,-3.024777,-474.844061,-44.08027056,60.0000,0
Ru2,Ge2,Te6,3.43329,1.98221,11.4659,6.86659,3.96443,11.47172,0.0,-0.0,10.28101,0.0,-0.0,12.65661,4.30237,0.0025,13.1605,1.28427,2.21943,13.1605,4.71324,3.72472,13.1605,5.9975,5.94414,9.77711,9.0156,3.72721,9.77711,5.58663,2.22192,9.77711,0.689,0.689,0.017,0.017,0.042,0.051,0.042,0.042,0.051,0.042,1.681,-2.146508,-389.043900,-39.31637623,60.0000,0
Ru2,GeP,Se6,3.18757,1.84034,10.8773,6.37514,3.68069,10.8786,0.0,-0.0,9.73279,0.0,-0.0,12.04099,4.06246,0.00048,12.39268,1.15676,2.0026,12.39268,4.3435,3.51796,12.39268,5.58175,5.52049,9.3085,8.36515,3.44788,9.3085,5.17851,2.07369,9.3085,0.405,0.405,0.009,0.007,0.009,0.02,0.012,0.012,0.019,0.014,0.912,-2.538884,-472.490873,-45.35160830,61.0000,0
Ru2,GeP,Te6,3.44856,1.99103,10.90907,6.89713,3.98206,10.9147,-0.0,0.0,9.72663,-0.0,0.0,12.07525,4.32151,0.00251,12.45086,1.28998,2.2293,12.45086,4.7342,3.74128,12.45086,6.02417,5.97057,9.24991,9.0557,3.74379,9.24991,5.61148,2.2318,9.24991,0.348,0.347,0.008,0.006,0.021,0.02,0.022,0.023,0.024,0.023,0.842,-1.956613,-390.131908,-40.95578793,61.0000,0
Ru2,GeSi,Se6,3.16888,1.82955,11.1294,6.33777,3.65911,11.13217,0.0,0.0,9.99532,-0.0,0.0,12.33169,4.058,0.00087,12.74785,1.14063,1.9739,12.74785,4.30802,3.5139,12.74785,5.56695,5.48788,9.55411,8.30693,3.41226,9.55411,5.1394,2.07718,9.55411,0.812,0.813,0.026,0.013,0.017,0.041,0.023,0.01,0.035,0.017,1.807,-2.831032,-464.411664,-45.49459045,60.0000,0
